CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,ValueSegment,LifeStageSegment,HighRiskChurn,PremiumCustomer,EstimatedAnnualRevenue
15602564,Tanaka,543.0,France,Female,83,3,120469.36,2,1,1,142458.53,0,High-Value,Senior,False,False,3368.8
15603439,Petrov,843.0,Germany,Male,46,9,159577.32,3,1,0,134922.99,0,High-Value,Established,False,False,3911.55
15608762,Nguyen,668.0,France,Male,59,6,62206.22,1,0,0,32283.93,1,Medium-Value,Established,True,False,1444.12
15603735,Dubois,659.0,Spain,Male,56,6,0.0,1,1,1,120772.59,0,Medium-Value,Established,False,False,368.0
15605488,Schmidt,638.0,France,Male,63,8,0.0,1,1,1,157772.43,0,Medium-Value,Senior,False,False,368.0
15609206,Ivanov,621.0,Spain,Male,50,4,0.0,1,1,1,199725.62,0,Medium-Value,Established,False,False,368.0
15604591,Smith,713.0,France,Male,61,3,88114.16,2,1,1,57883.16,0,High-Value,Senior,False,False,2624.63
15603597,Fischer,670.0,Spain,Female,69,3,40257.13,3,1,1,16564.39,0,High-Value,Senior,False,False,1753.91
15608912,Costa,680.0,France,Female,63,1,112546.3,2,1,0,96277.02,0,High-Value,Senior,False,False,2770.93
15608695,Schmidt,605.0,Germany,Female,80,4,106924.56,2,1,1,174963.65,1,High-Value,Senior,False,False,3057.26
15601055,Bianchi,498.0,Spain,Female,69,2,75086.7,1,0,0,161103.55,1,Medium-Value,Senior,True,False,1701.73
15609631,Smith,644.0,France,Female,67,2,0.0,1,0,0,198580.16,0,Medium-Value,Senior,True,False,200.0
15603830,Schmidt,599.0,France,Female,63,4,0.0,2,1,0,125382.25,0,High-Value,Senior,False,False,520.0
15609296,Nguyen,653.0,Germany,Male,49,4,38446.82,3,1,1,148988.0,0,High-Value,Established,False,False,1712.28
15606343,Costa,526.0,France,Female,46,6,80336.43,1,1,1,115785.78,0,Medium-Value,Established,False,False,2215.74
15603368,Tanaka,541.0,Germany,Male,77,7,202445.65,1,1,0,134912.58,1,High-Value,Senior,True,False,4368.91
15608841,Kowalski,599.0,France,Female,63,10,0.0,1,0,1,81499.57,0,Medium-Value,Senior,False,False,230.0
15600397,Muller,662.0,Germany,Male,48,7,72737.08,1,1,1,144836.8,1,Medium-Value,Established,False,False,2040.95
15603796,Costa,631.0,Spain,Male,52,6,62377.67,2,0,0,187928.92,0,High-Value,Established,False,False,1647.55
15603272,Costa,633.0,France,Female,58,10,133411.39,2,0,1,98180.14,0,High-Value,Established,False,False,3528.46
15607882,Moreau,580.0,Spain,Male,92,7,108971.75,2,0,1,110155.01,1,High-Value,Senior,False,False,2966.35
15608708,Silva,759.0,Germany,Male,56,10,135332.07,1,0,1,172857.79,1,High-Value,Established,False,False,3342.64
15605275,Dubois,671.0,France,Female,57,7,107465.81,1,1,1,45704.37,0,Medium-Value,Established,False,False,2839.71
15602282,Kowalski,671.0,Spain,Female,47,10,0.0,2,1,0,138270.45,0,High-Value,Established,False,False,520.0
15606569,Muller,458.0,France,Female,67,5,138043.71,3,1,1,127724.64,0,High-Value,Senior,False,False,4003.01
15602262,Smith,731.0,France,Male,44,5,144533.09,1,1,1,104643.89,0,High-Value,Established,False,True,3692.26
15600921,Fischer,605.0,Spain,Female,59,3,54627.83,3,1,0,107612.61,0,High-Value,Established,False,False,1812.56
15601966,Ivanov,711.0,Germany,Female,92,1,0.0,4,1,1,10128.84,1,High-Value,Senior,False,False,1058.0
15604008,Muller,597.0,Germany,Female,58,2,31979.61,3,0,0,102349.02,0,High-Value,Established,False,False,1239.59
15602582,Garcia,635.0,France,Male,71,2,125118.9,3,1,1,117525.6,0,High-Value,Senior,False,False,3705.73
15601520,Schmidt,719.0,France,Female,66,10,81137.91,1,1,0,14063.57,0,Medium-Value,Senior,True,False,1942.76
15606688,Costa,660.0,France,Female,70,7,153042.37,1,1,0,55853.9,1,High-Value,Senior,True,False,3380.85
15601935,Muller,674.0,Germany,Male,43,7,0.0,1,0,1,24000.42,1,Medium-Value,Established,False,False,230.0
15605350,Dubois,675.0,Germany,Female,39,4,0.0,2,1,0,132737.97,0,High-Value,Established,False,False,520.0
15605953,Costa,561.0,Spain,Male,68,2,62377.67,2,0,1,178455.44,1,High-Value,Senior,False,False,1894.69
15604362,Silva,709.0,Spain,Male,47,4,78571.19,4,1,0,94925.41,1,High-Value,Established,False,False,2491.42
15604729,Costa,801.0,Germany,Male,70,1,61912.42,2,0,0,43283.67,1,High-Value,Senior,False,False,1638.25
15607684,Andersen,656.0,Germany,Male,43,8,0.0,1,0,0,188520.4,1,Medium-Value,Established,True,False,200.0
15604451,Garcia,597.0,France,Male,54,0,62113.49,1,1,0,120664.17,0,Medium-Value,Established,True,False,1562.27
15605971,Dubois,750.0,France,Female,49,6,38746.82,1,1,1,147711.38,1,Medium-Value,Established,False,False,1259.18
15600484,Silva,619.0,Germany,Male,39,3,0.0,1,1,1,25766.47,0,Medium-Value,Established,False,False,368.0
15608218,Silva,540.0,Spain,Male,38,3,123026.96,2,1,1,60812.01,0,High-Value,Established,False,False,3427.62
15604116,Smith,736.0,Spain,Female,48,7,132079.64,2,1,1,23281.78,0,High-Value,Established,False,False,3635.83
15609161,Costa,603.0,Germany,Female,52,8,0.0,1,0,0,174851.48,0,Medium-Value,Established,True,False,200.0
15604046,Silva,716.0,France,Female,51,7,169658.65,2,1,0,26924.02,0,High-Value,Established,False,False,3913.17
15606709,Silva,783.0,France,Male,48,5,60842.83,1,1,1,197082.74,1,Medium-Value,Established,False,False,1767.39
15602527,Moreau,468.0,Germany,Male,55,2,54294.1,3,0,1,138321.34,0,High-Value,Established,False,False,1938.76
15601475,Kowalski,799.0,Spain,Female,62,7,0.0,1,1,0,1601.55,1,Medium-Value,Senior,True,False,320.0
15600278,Okafor,698.0,Spain,Male,54,3,71386.32,2,0,0,173046.66,0,High-Value,Established,False,False,1827.73
15603376,Andersen,665.0,France,Male,80,10,0.0,2,1,1,157870.08,1,High-Value,Senior,False,False,598.0
15604141,Schmidt,690.0,France,Male,59,2,63830.05,1,0,1,150184.98,1,Medium-Value,Established,False,False,1698.09
15607028,Tanaka,478.0,Spain,Male,61,4,115937.08,1,1,0,2614.96,0,High-Value,Senior,True,False,2638.74
15600619,Rossi,719.0,France,Male,51,1,90897.54,1,0,0,21092.72,1,Medium-Value,Established,True,False,2017.95
15603833,Costa,763.0,Germany,Male,40,4,118685.58,4,1,1,193143.34,0,High-Value,Established,False,False,3787.77
15608085,Rossi,671.0,France,Male,60,5,0.0,1,0,0,39852.67,0,Medium-Value,Senior,True,False,200.0
15603903,Smith,665.0,France,Female,49,2,0.0,1,1,1,121301.16,0,Medium-Value,Established,False,False,368.0
15602717,Costa,649.0,Spain,Female,46,4,98981.83,2,1,1,193001.58,0,High-Value,Established,False,False,2874.58
15605064,Andersen,552.0,France,Male,34,5,0.0,2,1,0,48659.32,0,High-Value,Young Professional,False,False,520.0
15604446,Kowalski,811.0,France,Male,49,2,53950.46,1,1,1,50419.51,0,Medium-Value,Established,False,False,1608.86
15608954,Schmidt,640.0,France,Male,44,10,0.0,1,0,0,166692.35,0,Medium-Value,Established,True,False,200.0
15602443,Dubois,791.0,Spain,Male,67,0,0.0,1,0,0,190748.18,1,Medium-Value,Senior,True,False,200.0
