RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2565,15602564,Tanaka,543.0,France,female,83,3,120469.36,2,1,1,142458.53,0
3440,15603439,Petrov,843.0,Germany,Male,46,9,159577.32,3,1,0,134922.99,0
8763,15608762,Nguyen,668.0,France,Male,59,6,62206.22,1,0,0,32283.93,1
3736,15603735,Dubois,659.0,Spain,Male,56,6,0.0,1,1,1,120772.59,0
5489,15605488,Schmidt,638.0,France,Male,63,8,0.0,1,1,1,157772.43,0
9207,15609206,Ivanov,621.0, Spain  ,Male,50,4,0.0,1,1,1,199725.62,0
4592,15604591,Smith,713.0,France,Male,61,3,88114.16,2,1,1,57883.16,0
3598,15603597,Fischer,670.0,Spain,Female,69,3,40257.13,3,1,1,16564.39,0
8913,15608912,Costa,680.0,France,Female,63,1,112546.3,2,1,0,96277.02,0
8696,15608695,Schmidt,605.0,Germany,Female,80,4,106924.56,2,1,1,174963.65,1
1056,15601055,Bianchi,498.0, Spain  ,Female,69,2,75086.7,1,0,0,161103.55,1
9632,15609631,Smith,644.0,France,female,67,2,0.0,1,0,0,198580.16,0
3831,15603830,Schmidt,599.0,France,Female,63,4,0.0,2,1,0,125382.25,0
9297,15609296,Nguyen,653.0,Germany,Male,49,4,38446.82,3,1,1,148988.0,0
6344,15606343,Costa,526.0,France,Female,46,6,80336.43,1,1,1,115785.78,0
3369,15603368,Tanaka,541.0, GERMANY  ,Male,77,7,202445.65,1,1,0,134912.58,1
8842,15608841,Kowalski,599.0,France,Female,63,10,0.0,1,0,1,81499.57,0
398,15600397,Muller,662.0,GERMANY,Male,48,7,72737.08,1,1,1,144836.8,1
3797,15603796,Costa,631.0,Spain,Male,52,6,,2,0,0,187928.92,0
3273,15603272,Costa,633.0,France,female,58,10,133411.39,2,0,1,98180.14,0
7883,15607882,Moreau,580.0,Spain,Male,92,7,108971.75,2,0,1,110155.01,1
8709,15608708,Silva,759.0,Germany,Male,56,10,135332.07,1,0,1,172857.79,1
5276,15605275,Dubois,671.0,France,Female,57,7,107465.81,1,1,1,45704.37,0
2283,15602282,Kowalski,671.0,SPAIN,Female,47,10,0.0,2,1,0,138270.45,0
6570,15606569,Muller,458.0,France,Female,67,5,138043.71,3,1,1,127724.64,0
2263,15602262,Smith,731.0,France,Male,44,5,144533.09,1,1,1,104643.89,0
922,15600921,Fischer,605.0,Spain,Female,59,3,54627.83,3,1,0,107612.61,0
1967,15601966,Ivanov,711.0,Germany,Female,92,1,0.0,4,1,1,10128.84,1
4009,15604008,Muller,597.0,Germany,Female,58,2,31979.61,3,0,0,102349.02,0
2583,15602582,Garcia,635.0,France,male,71,2,125118.9,3,1,1,117525.6,0
1521,15601520,Schmidt,719.0,France,Female,66,10,81137.91,1,1,0,14063.57,0
6689,15606688,Costa,660.0,FRANCE,Female,70,7,153042.37,1,1,0,55853.9,1
1936,15601935,Muller,674.0,Germany,Male,43,7,0.0,1,0,1,24000.42,1
